Код;Наименование;Подкатегория;;Подкатегория;Допродажа. Код;Допродажа. Наименование
РТ-00006522;;;;;;
ЦБ-00000361;;;;;;
ЦБ-00000363;;;;;;
ЦБ-00024936;;;;;;
РТ-00000146;;;;;;
ЦБ-00000367;;;;;;
ЦБ-00150569;;;;;;
ЦБ-00194455;;;;;;
ЦБ-00032424;;;;;;
ЦБ-00176596;;;;;;
ЦБ-00180634;;;;;;
ЦБ-00020709;;;;;;
ЦБ-00140814;;;;;;
ЦБ-00187987;;;;;;
ЦБ-00136100;;;;;;
ЦБ-00146504;;;;;;
ЦБ-00146505;;;;;;
ЦБ-00144408;;;;;;
ЦБ-00157522;;;;;;
ЦБ-00143192;;;;;;
ЦБ-00136098;;;;;;
ЦБ-00145180;;;;;;
ЦБ-00127991;;;;;;
ЦБ-00130061;;;;;;
ЦБ-00146999;;;;;;
ЦБ-00144126;;;;;;
ЦБ-00170835;;;;;;
ЦБ-00136099;;;;;;
ЦБ-00124656;;;;;;
ЦБ-00147369;;;;;;
ЦБ-00038804;;;;;;
ЦБ-00154095;;;;;;
ЦБ-00039531;;;;;;
ЦБ-00038265;;;;;;
ЦБ-00038266;;;;;;
ЦБ-00164133;;;;;;
РТ-00009764;;;;;;
ЦБ-00036500;;;;;;
ЦБ-00121583;;;;;;
ЦБ-00036501;;;;;;
РТ-00007587;;;;;;
ЦБ-00038905;;;;;;
ЦБ-00164132;;;;;;
ЦБ-00039275;;;;;;
ЦБ-00157312;;;;;;
ЦБ-00153282;;;;;;
РТ-00002233;;;;;;
ЦБ-00038019;;;;;;
ЦБ-00039377;;;;;;
ЦБ-00038020;;;;;;
ЦБ-00129537;;;;;;
ЦБ-00129538;;;;;;
ЦБ-00136101;;;;;;
ЦБ-00036026;;;;;;
ЦБ-00118795;;;;;;
ЦБ-00136102;;;;;;
ЦБ-00125399;;;;;;
ЦБ-00038379;;;;;;
ЦБ-00152261;;;;;;
ЦБ-00038186;;;;;;
ЦБ-00142800;;;;;;
ЦБ-00144129;;;;;;
ЦБ-00146536;;;;;;
ЦБ-00193104;;;;;;
ЦБ-00006740;;;;;;
ЦБ-00006737;;;;;;
ЦБ-00005395;;;;;;
ЦБ-00000405;;;;;;
ЦБ-00187885;;;;;;
РТ-00005123;;;;;;
ЦБ-00033264;;;;;;
ЦБ-00005408;;;;;;
ЦБ-00005406;;;;;;
ЦБ-00161666;;;;;;
ЦБ-00036134;;;;;;
РТ-00000707;;;;;;
ЦБ-00040242;;;;;;
ЦБ-00022576;;;;;;
ЦБ-00017651;;;;;;
ЦБ-00022578;;;;;;
ЦБ-00023117;;;;;;
ЦБ-00037203;;;;;;
ЦБ-00022577;;;;;;
РТ-00000706;;;;;;
ЦБ-00166353;;;;;;
ЦБ-00166351;;;;;;
ЦБ-00166350;;;;;;
ЦБ-00166349;;;;;;
РТ-00000330;;;;;;
ЦБ-00174159;;;;;;
ЦБ-00125400;;;;;;
РТ-00003461;;;;;;
РТ-00003249;;;;;;
РТ-00003305;;;;;;
РТ-00002492;;;;;;
РТ-00002493;;;;;;
ЦБ-00134526;;;;;;
ЦБ-00134525;;;;;;
ЦБ-00133878;;;;;;
ЦБ-00134527;;;;;;
ЦБ-00086007;;;;;;
ЦБ-00169314;;;;;;
ЦБ-00017905;;;;;;
ЦБ-00118385;;;;;;
ЦБ-00118165;;;;;;
РТ-00010918;;;;;;
РТ-00003842;;;;;;
РТ-00004639;;;;;;
РТ-00003841;;;;;;
ЦБ-00148182;;;;;;
РТ-00005404;;;;;;
РТ-00007551;;;;;;
РТ-00009834;;;;;;
РТ-00009832;;;;;;
РТ-00009833;;;;;;
ЦБ-00024687;;;;;;
ЦБ-00024676;;;;;;
ЦБ-00024677;;;;;;
ЦБ-00024678;;;;;;
ЦБ-00024686;;;;;;
ЦБ-00034122;;;;;;
ЦБ-00034123;;;;;;
ЦБ-00034124;;;;;;
ЦБ-00034125;;;;;;
ЦБ-00016543;;;;;;
РТ-00005267;;;;;;
РТ-00009827;;;;;;
ЦБ-00172759;;;;;;
РТ-00009829;;;;;;
РТ-00009828;;;;;;
ЦБ-00172835;;;;;;
ЦБ-00163782;;;;;;
ЦБ-00017047;;;;;;
ЦБ-00146822;;;;;;
ЦБ-00035543;;;;;;
РТ-00008340;;;;;;
ЦБ-00147617;;;;;;
ЦБ-00021198;;;;;;
ЦБ-00125635;;;;;;
ЦБ-00038537;;;;;;
ЦБ-00172858;;;;;;
РТ-00009830;;;;;;
РТ-00009831;;;;;;
ЦБ-00022304;;;;;;
РТ-00009859;;;;;;
РТ-00009861;;;;;;
РТ-00009860;;;;;;
ЦБ-00034126;;;;;;
ЦБ-00033098;;;;;;
ЦБ-00005410;;;;;;
ЦБ-00017967;;;;;;
ЦБ-00017968;;;;;;
ЦБ-00017849;;;;;;
ЦБ-00005411;;;;;;
ЦБ-00005412;;;;;;
ЦБ-00140806;;;;;;
РТ-00005145;;;;;;
ЦБ-00164098;;;;;;
ЦБ-00118163;;;;;;
ЦБ-00159756;;;;;;
ЦБ-00162005;;;;;;
ЦБ-00159578;;;;;;
ЦБ-00161383;;;;;;
ЦБ-00161186;;;;;;
РТ-00009981;;;;;;
РТ-00010953;;;;;;
ЦБ-00039787;;;;;;
РТ-00003121;;;;;;
РТ-00003117;;;;;;
РТ-00003119;;;;;;
РТ-00003118;;;;;;
РТ-00003116;;;;;;
РТ-00003120;;;;;;
ЦБ-00136154;;;;;;
РТ-00002566;;;;;;
РТ-00002565;;;;;;
ЦБ-00035720;;;;;;
ЦБ-00035560;;;;;;
ЦБ-00030587;;;;;;
ЦБ-00005415;;;;;;
ЦБ-00026019;;;;;;
РТ-00003601;;;;;;
РТ-00003473;;;;;;
ЦБ-00000420;;;;;;
ЦБ-00030235;;;;;;
ЦБ-00035188;;;;;;
ЦБ-00000411;;;;;;
ЦБ-00000419;;;;;;
ЦБ-00037501;;;;;;
ЦБ-00035987;;;;;;
ЦБ-00039092;;;;;;
РТ-00010088;;;;;;
ЦБ-00170995;;;;;;
ЦБ-00147325;;;;;;
ЦБ-00037521;;;;;;
РТ-00013518;;;;;;
ЦБ-00154590;;;;;;
ЦБ-00147465;;;;;;
ЦБ-00147960;;;;;;
ЦБ-00185694;;;;;;
ЦБ-00033803;;;;;;
ЦБ-00033371;;;;;;
ЦБ-00016267;;;;;;
ЦБ-00183235;;;;;;
ЦБ-00183236;;;;;;
ЦБ-00183237;;;;;;
ЦБ-00030236;;;;;;
ЦБ-00028354;;;;;;
РТ-00008975;;;;;;
ЦБ-00029974;;;;;;
ЦБ-00005417;;;;;;
ЦБ-00028323;;;;;;
ЦБ-00000412;;;;;;
ЦБ-00036497;;;;;;
ЦБ-00016544;;;;;;
ЦБ-00162484;;;;;;
ЦБ-00189084;;;;;;
ЦБ-00188953;;;;;;
ЦБ-00181204;;;;;;
ЦБ-00185182;;;;;;
ЦБ-00005418;;;;;;
ЦБ-00005422;;;;;;
ЦБ-00164040;;;;;;
ЦБ-00164135;;;;;;
ЦБ-00132567;;;;;;
ЦБ-00037342;;;;;;
ЦБ-00036445;;;;;;
ЦБ-00005413;;;;;;
ЦБ-00005419;;;;;;
ЦБ-00035466;;;;;;
ЦБ-00000408;;;;;;
ЦБ-00005420;;;;;;
ЦБ-00036616;;;;;;
ЦБ-00005421;;;;;;
РТ-00014867;;;;;;
РТ-00012729;;;;;;
ЦБ-00000409;;;;;;
ЦБ-00037325;;;;;;
ЦБ-00036755;;;;;;
ЦБ-00034185;;;;;;
ЦБ-00187982;;;;;;
ЦБ-00187983;;;;;;
ЦБ-00173942;;;;;;
ЦБ-00188559;;;;;;
ЦБ-00040302;;;;;;
ЦБ-00123215;;;;;;
ЦБ-00005416;;;;;;
ЦБ-00038296;;;;;;
РТ-00009410;;;;;;
ЦБ-00038297;;;;;;
ЦБ-00038298;;;;;;
ЦБ-00025174;;;;;;
ЦБ-00028377;;;;;;
ЦБ-00122855;;;;;;
ЦБ-00038299;;;;;;
ЦБ-00037160;;;;;;
ЦБ-00038300;;;;;;
ЦБ-00124583;;;;;;
ЦБ-00024140;;;;;;
ЦБ-00033275;;;;;;
ЦБ-00033276;;;;;;
ЦБ-00033277;;;;;;
ЦБ-00033278;;;;;;
ЦБ-00033279;;;;;;
ЦБ-00033280;;;;;;
ЦБ-00016303;;;;;;
ЦБ-00017715;;;;;;
ЦБ-00017716;;;;;;
ЦБ-00017714;;;;;;
РТ-00005317;;;;;;
РТ-00003299;;;;;;
ЦБ-00017717;;;;;;
ЦБ-00017718;;;;;;
ЦБ-00017719;;;;;;
ЦБ-00018530;;;;;;
ЦБ-00017899;;;;;;
ЦБ-00016268;;;;;;
ЦБ-00017720;;;;;;
ЦБ-00016230;;;;;;
ЦБ-00026632;;;;;;
ЦБ-00026606;;;;;;
ЦБ-00026607;;;;;;
ЦБ-00026608;;;;;;
ЦБ-00026609;;;;;;
ЦБ-00026610;;;;;;
ЦБ-00026611;;;;;;
ЦБ-00026612;;;;;;
ЦБ-00026613;;;;;;
ЦБ-00026614;;;;;;
ЦБ-00025367;;;;;;
ЦБ-00019710;;;;;;
ЦБ-00129474;;;;;;
ЦБ-00134653;;;;;;
ЦБ-00134654;;;;;;
ЦБ-00035124;;;;;;
ЦБ-00035153;;;;;;
ЦБ-00036027;;;;;;
ЦБ-00141966;;;;;;
ЦБ-00134712;;;;;;
ЦБ-00172219;;;;;;
ЦБ-00162157;;;;;;
ЦБ-00195034;;;;;;
ЦБ-00175502;;;;;;
ЦБ-00000427;;;;;;
ЦБ-00005425;;;;;;
ЦБ-00005426;;;;;;
ЦБ-00029978;;;;;;
РТ-00001160;;;;;;
ЦБ-00015540;;;;;;
ЦБ-00120180;;;;;;
ЦБ-00168392;;;;;;
РТ-00003114;;;;;;
ЦБ-00000428;;;;;;
ЦБ-00000429;;;;;;
ЦБ-00005427;;;;;;
ЦБ-00153183;;;;;;
ЦБ-00106765;;;;;;
ЦБ-00165499;;;;;;
ЦБ-00030237;;;;;;
ЦБ-00016647;;;;;;
ЦБ-00030238;;;;;;
ЦБ-00028424;;;;;;
ЦБ-00173968;;;;;;
ЦБ-00036538;;;;;;
ЦБ-00131886;;;;;;
РТ-00012744;;;;;;
ЦБ-00173081;;;;;;
ЦБ-00033774;;;;;;
ЦБ-00033904;;;;;;
ЦБ-00036028;;;;;;
ЦБ-00178912;;;;;;
ЦБ-00184675;;;;;;
ЦБ-00035125;;;;;;
ЦБ-00000432;;;;;;
ЦБ-00000433;;;;;;
ЦБ-00084891;;;;;;
ЦБ-00032942;;;;;;
ЦБ-00173489;;;;;;
ЦБ-00035740;;;;;;
ЦБ-00168722;;;;;;
ЦБ-00016617;;;;;;
ЦБ-00154253;;;;;;
ЦБ-00157970;;;;;;
ЦБ-00175275;;;;;;
ЦБ-00182466;;;;;;
ЦБ-00171365;;;;;;
ЦБ-00185850;;;;;;
ЦБ-00185615;;;;;;
ЦБ-00144419;;;;;;
ЦБ-00122691;;;;;;
ЦБ-00122692;;;;;;
ЦБ-00144420;;;;;;
ЦБ-00181517;;;;;;
ЦБ-00195232;;;;;;
ЦБ-00185912;;;;;;
ЦБ-00192633;;;;;;
ЦБ-00190431;;;;;;
ЦБ-00185763;;;;;;
ЦБ-00184083;;;;;;
ЦБ-00194927;;;;;;
ЦБ-00185473;;;;;;
ЦБ-00185313;;;;;;
ЦБ-00188905;;;;;;
ЦБ-00186993;;;;;;
ЦБ-00193887;;;;;;
ЦБ-00192992;;;;;;
ЦБ-00192269;;;;;;
ЦБ-00185064;;;;;;
ЦБ-00180864;;;;;;
ЦБ-00192993;;;;;;
ЦБ-00190755;;;;;;
ЦБ-00186768;;;;;;
ЦБ-00185455;;;;;;
ЦБ-00188255;;;;;;
ЦБ-00174022;;;;;;
ЦБ-00174973;;;;;;
ЦБ-00186816;;;;;;
ЦБ-00185065;;;;;;
ЦБ-00034947;;;;;;
ЦБ-00016652;;;;;;
ЦБ-00002746;;;;;;
ЦБ-00005445;;;;;;
РТ-00010367;;;;;;
РТ-00002815;;;;;;
ЦБ-00021652;;;;;;
ЦБ-00157529;;;;;;
ЦБ-00152253;;;;;;
РТ-00000801;;;;;;
ЦБ-00035896;;;;;;
ЦБ-00122348;;;;;;
ЦБ-00020120;;;;;;
ЦБ-00000483;;;;;;
ЦБ-00121267;;;;;;
ЦБ-00149554;;;;;;
ЦБ-00146229;;;;;;
РТ-00004185;;;;;;
ЦБ-00031673;;;;;;
ЦБ-00021654;;;;;;
ЦБ-00166509;;;;;;
ЦБ-00031672;;;;;;
ЦБ-00166008;;;;;;
ЦБ-00113031;;;;;;
ЦБ-00169728;;;;;;
ЦБ-00146903;;;;;;
ЦБ-00146902;;;;;;
ЦБ-00146517;;;;;;
ЦБ-00000519;;;;;;
ЦБ-00037991;;;;;;
РТ-00005022;;;;;;
РТ-00005023;;;;;;
РТ-00001162;;;;;;
РТ-00000156;;;;;;
ЦБ-00000524;;;;;;
ЦБ-00171987;;;;;;
ЦБ-00185554;;;;;;
ЦБ-00185552;;;;;;
ЦБ-00168381;;;;;;
ЦБ-00171583;;;;;;
ЦБ-00026810;;;;;;
ЦБ-00029989;;;;;;
РТ-00011719;;;;;;
ЦБ-00084219;;;;;;
ЦБ-00084222;;;;;;
ЦБ-00084223;;;;;;
ЦБ-00177946;;;;;;
ЦБ-00003055;;;;;;
ЦБ-00037351;;;;;;
ЦБ-00037337;;;;;;
РТ-00014194;;;;;;
ЦБ-00037348;;;;;;
ЦБ-00037349;;;;;;
ЦБ-00178817;;;;;;
ЦБ-00185315;;;;;;
ЦБ-00168299;;;;;;
ЦБ-00184399;;;;;;
ЦБ-00178563;;;;;;
ЦБ-00140658;;;;;;
ЦБ-00146098;;;;;;
ЦБ-00036619;;;;;;
ЦБ-00150670;;;;;;
ЦБ-00140479;;;;;;
ЦБ-00030364;;;;;;
ЦБ-00025344;;;;;;
ЦБ-00006821;;;;;;
ЦБ-00006822;;;;;;
ЦБ-00006823;;;;;;
ЦБ-00006824;;;;;;
ЦБ-00006825;;;;;;
ЦБ-00171654;;;;;;
ЦБ-00176439;;;;;;
ЦБ-00151045;;;;;;
ЦБ-00000555;;;;;;
ЦБ-00029934;;;;;;
ЦБ-00029991;;;;;;
ЦБ-00038692;;;;;;
ЦБ-00000578;;;;;;
ЦБ-00021665;;;;;;
ЦБ-00000579;;;;;;
ЦБ-00000577;;;;;;
ЦБ-00016361;;;;;;
ЦБ-00021664;;;;;;
ЦБ-00155759;;;;;;
ЦБ-00155486;;;;;;
ЦБ-00025885;;;;;;
РТ-00014091;;;;;;
ЦБ-00001865;;;;;;
ЦБ-00001866;;;;;;
ЦБ-00000599;;;;;;
ЦБ-00000601;;;;;;
ЦБ-00039192;;;;;;
ЦБ-00000600;;;;;;
ЦБ-00022631;;;;;;
ЦБ-00020657;;;;;;
ЦБ-00039193;;;;;;
ЦБ-00152766;;;;;;
ЦБ-00139287;;;;;;
РТ-00007064;;;;;;
ЦБ-00000622;;;;;;
ЦБ-00000623;;;;;;
РТ-00003813;;;;;;
ЦБ-00182658;;;;;;
ЦБ-00193893;;;;;;
ЦБ-00171470;;;;;;
ЦБ-00168395;;;;;;
ЦБ-00185971;;;;;;
ЦБ-00032482;;;;;;
ЦБ-00032372;;;;;;
ЦБ-00153286;;;;;;
ЦБ-00182135;;;;;;
ЦБ-00039548;;;;;;
ЦБ-00006743;;;;;;
ЦБ-00194760;;;;;;
ЦБ-00175736;;;;;;
ЦБ-00157013;;;;;;
ЦБ-00147029;;;;;;
ЦБ-00189687;;;;;;
ЦБ-00165300;;;;;;
ЦБ-00165301;;;;;;
ЦБ-00161768;;;;;;
ЦБ-00161773;;;;;;
ЦБ-00161751;;;;;;
ЦБ-00161752;;;;;;
ЦБ-00032425;;;;;;
ЦБ-00016618;;;;;;
ЦБ-00030268;;;;;;
ЦБ-00005781;;;;;;
ЦБ-00026540;;;;;;
РТ-00001593;;;;;;
ЦБ-00037493;;;;;;
ЦБ-00037494;;;;;;
ЦБ-00036852;;;;;;
ЦБ-00036855;;;;;;
РТ-00007707;;;;;;
РТ-00001592;;;;;;
ЦБ-00036853;;;;;;
РТ-00007705;;;;;;
ЦБ-00036856;;;;;;
ЦБ-00036854;;;;;;
РТ-00007706;;;;;;
РТ-00007708;;;;;;
ЦБ-00144438;;;;;;
РТ-00007709;;;;;;
РТ-00007710;;;;;;
РТ-00007711;;;;;;
РТ-00007712;;;;;;
ЦБ-00030285;;;;;;
ЦБ-00005898;;;;;;
ЦБ-00005782;;;;;;
ЦБ-00122863;;;;;;
ЦБ-00124447;;;;;;
ЦБ-00005834;;;;;;
ЦБ-00030282;;;;;;
ЦБ-00030283;;;;;;
ЦБ-00131541;;;;;;
ЦБ-00129568;;;;;;
ЦБ-00030284;;;;;;
ЦБ-00005836;;;;;;
ЦБ-00005835;;;;;;
ЦБ-00005837;;;;;;
ЦБ-00005894;;;;;;
ЦБ-00005895;;;;;;
ЦБ-00005896;;;;;;
ЦБ-00026014;;;;;;
ЦБ-00005899;;;;;;
ЦБ-00005900;;;;;;
ЦБ-00005901;;;;;;
ЦБ-00005903;;;;;;
ЦБ-00005904;;;;;;
ЦБ-00005905;;;;;;
ЦБ-00187417;;;;;;
ЦБ-00186667;;;;;;
ЦБ-00037593;;;;;;
ЦБ-00005784;;;;;;
ЦБ-00040146;;;;;;
ЦБ-00125761;;;;;;
ЦБ-00038633;;;;;;
ЦБ-00119533;;;;;;
ЦБ-00033102;;;;;;
ЦБ-00167902;;;;;;
РТ-00000961;;;;;;
РТ-00000596;;;;;;
РТ-00002611;;;;;;
РТ-00006748;;;;;;
ЦБ-00036244;;;;;;
ЦБ-00036245;;;;;;
ЦБ-00173882;;;;;;
ЦБ-00168982;;;;;;
ЦБ-00176064;;;;;;
ЦБ-00164710;;;;;;
ЦБ-00168252;;;;;;
ЦБ-00177031;;;;;;
ЦБ-00174386;;;;;;
ЦБ-00167422;;;;;;
ЦБ-00168203;;;;;;
ЦБ-00168080;;;;;;
РТ-00013261;;;;;;
РТ-00014261;;;;;;
РТ-00014773;;;;;;
ЦБ-00005785;;;;;;
ЦБ-00005831;;;;;;
ЦБ-00040353;;;;;;
ЦБ-00022241;;;;;;
ЦБ-00005787;;;;;;
ЦБ-00016482;;;;;;
ЦБ-00017067;;;;;;
ЦБ-00005789;;;;;;
ЦБ-00005790;;;;;;
ЦБ-00005791;;;;;;
ЦБ-00005830;;;;;;
ЦБ-00005832;;;;;;
ЦБ-00030270;;;;;;
РТ-00000877;;;;;;
РТ-00003400;;;;;;
ЦБ-00163302;;;;;;
ЦБ-00037618;;;;;;
ЦБ-00005794;;;;;;
ЦБ-00005797;;;;;;
ЦБ-00030271;;;;;;
ЦБ-00025122;;;;;;
ЦБ-00025093;;;;;;
ЦБ-00019629;;;;;;
ЦБ-00017361;;;;;;
РТ-00000762;;;;;;
ЦБ-00024763;;;;;;
ЦБ-00026007;;;;;;
ЦБ-00016232;;;;;;
ЦБ-00036102;;;;;;
ЦБ-00024777;;;;;;
ЦБ-00005800;;;;;;
ЦБ-00005801;;;;;;
ЦБ-00005788;;;;;;
ЦБ-00030269;;;;;;
ЦБ-00015459;;;;;;
ЦБ-00168465;;;;;;
ЦБ-00005786;;;;;;
ЦБ-00005795;;;;;;
ЦБ-00027036;;;;;;
ЦБ-00016231;;;;;;
РТ-00007724;;;;;;
ЦБ-00027367;;;;;;
ЦБ-00027368;;;;;;
ЦБ-00005792;;;;;;
ЦБ-00005793;;;;;;
ЦБ-00005796;;;;;;
ЦБ-00030272;;;;;;
ЦБ-00005804;;;;;;
ЦБ-00022669;;;;;;
РТ-00007726;;;;;;
ЦБ-00005798;;;;;;
ЦБ-00032808;;;;;;
ЦБ-00037759;;;;;;
ЦБ-00153489;;;;;;
ЦБ-00005833;;;;;;
ЦБ-00127205;;;;;;
ЦБ-00017068;;;;;;
ЦБ-00005808;;;;;;
ЦБ-00005842;;;;;;
ЦБ-00125762;;;;;;
ЦБ-00005807;;;;;;
РТ-00002475;;;;;;
ЦБ-00005809;;;;;;
ЦБ-00005810;;;;;;
ЦБ-00005811;;;;;;
ЦБ-00026018;;;;;;
ЦБ-00015990;;;;;;
ЦБ-00016280;;;;;;
ЦБ-00125747;;;;;;
РТ-00002366;;;;;;
ЦБ-00005813;;;;;;
ЦБ-00005816;;;;;;
РТ-00005315;;;;;;
ЦБ-00017069;;;;;;
ЦБ-00005819;;;;;;
ЦБ-00035175;;;;;;
ЦБ-00032901;;;;;;
ЦБ-00024010;;;;;;
ЦБ-00017671;;;;;;
ЦБ-00005821;;;;;;
ЦБ-00005825;;;;;;
ЦБ-00034990;;;;;;
ЦБ-00036857;;;;;;
ЦБ-00025471;;;;;;
ЦБ-00025556;;;;;;
РТ-00002365;;;;;;
ЦБ-00005823;;;;;;
ЦБ-00005827;;;;;;
ЦБ-00005822;;;;;;
ЦБ-00005805;;;;;;
ЦБ-00005806;;;;;;
ЦБ-00026965;;;;;;
РТ-00003009;;;;;;
ЦБ-00005815;;;;;;
ЦБ-00005818;;;;;;
ЦБ-00030273;;;;;;
РТ-00007723;;;;;;
ЦБ-00024108;;;;;;
ЦБ-00005820;;;;;;
ЦБ-00025470;;;;;;
ЦБ-00022711;;;;;;
ЦБ-00005826;;;;;;
ЦБ-00005829;;;;;;
ЦБ-00030274;;;;;;
ЦБ-00015651;;;;;;
РТ-00007725;;;;;;
ЦБ-00005824;;;;;;
ЦБ-00171011;;;;;;
ЦБ-00005814;;;;;;
ЦБ-00124135;;;;;;
ЦБ-00150589;;;;;;
ЦБ-00136338;;;;;;
ЦБ-00029258;;;;;;
РТ-00008790;;;;;;
РТ-00008791;;;;;;
ЦБ-00124426;;;;;;
ЦБ-00122700;;;;;;
ЦБ-00093543;;;;;;
ЦБ-00107245;;;;;;
ЦБ-00153085;;;;;;
ЦБ-00098471;;;;;;
ЦБ-00069841;;;;;;
ЦБ-00025269;;;;;;
ЦБ-00025116;;;;;;
ЦБ-00025119;;;;;;
ЦБ-00155525;;;;;;
ЦБ-00174385;;;;;;
ЦБ-00174303;;;;;;
ЦБ-00069846;;;;;;
ЦБ-00069848;;;;;;
ЦБ-00152804;;;;;;
ЦБ-00152805;;;;;;
ЦБ-00142482;;;;;;
ЦБ-00146055;;;;;;
ЦБ-00121491;;;;;;
ЦБ-00121247;;;;;;
ЦБ-00120820;;;;;;
ЦБ-00123988;;;;;;
ЦБ-00118431;;;;;;
РТ-00013242;;;;;;
ЦБ-00122522;;;;;;
ЦБ-00119538;;;;;;
ЦБ-00119539;;;;;;
ЦБ-00122624;;;;;;
ЦБ-00152840;;;;;;
РТ-00014492;;;;;;
РТ-00014864;;;;;;
ЦБ-00027037;;;;;;
ЦБ-00179910;;;;;;
ЦБ-00181205;;;;;;
ЦБ-00023870;;;;;;
ЦБ-00165760;;;;;;
ЦБ-00035119;;;;;;
ЦБ-00005838;;;;;;
ЦБ-00005839;;;;;;
ЦБ-00005840;;;;;;
ЦБ-00005841;;;;;;
ЦБ-00016451;;;;;;
ЦБ-00005897;;;;;;
ЦБ-00035583;;;;;;
РТ-00001361;;;;;;
ЦБ-00035582;;;;;;
РТ-00001360;;;;;;
ЦБ-00025557;;;;;;
ЦБ-00027038;;;;;;
ЦБ-00146281;;;;;;
ЦБ-00005848;;;;;;
РТ-00001681;;;;;;
РТ-00008986;;;;;;
РТ-00008987;;;;;;
ЦБ-00005844;;;;;;
ЦБ-00005845;;;;;;
ЦБ-00015450;;;;;;
ЦБ-00026132;;;;;;
ЦБ-00038177;;;;;;
ЦБ-00037680;;;;;;
РТ-00004630;;;;;;
РТ-00012563;;;;;;
РТ-00012564;;;;;;
ЦБ-00026008;;;;;;
ЦБ-00026015;;;;;;
ЦБ-00026133;;;;;;
ЦБ-00025555;;;;;;
ЦБ-00025560;;;;;;
ЦБ-00131540;;;;;;
ЦБ-00005850;;;;;;
ЦБ-00030275;;;;;;
ЦБ-00030276;;;;;;
ЦБ-00005859;;;;;;
ЦБ-00005861;;;;;;
ЦБ-00005863;;;;;;
ЦБ-00005865;;;;;;
ЦБ-00005868;;;;;;
ЦБ-00005860;;;;;;
ЦБ-00005862;;;;;;
ЦБ-00005864;;;;;;
РТ-00012224;;;;;;
ЦБ-00149844;;;;;;
ЦБ-00005866;;;;;;
ЦБ-00005867;;;;;;
РТ-00000345;;;;;;
ЦБ-00005869;;;;;;
РТ-00000344;;;;;;
ЦБ-00136330;;;;;;
РТ-00014323;;;;;;
ЦБ-00123152;;;;;;
ЦБ-00005852;;;;;;
ЦБ-00034988;;;;;;
ЦБ-00005854;;;;;;
ЦБ-00005856;;;;;;
ЦБ-00005858;;;;;;
ЦБ-00029771;;;;;;
ЦБ-00029772;;;;;;
ЦБ-00005843;;;;;;
ЦБ-00030286;;;;;;
ЦБ-00025558;;;;;;
ЦБ-00022089;;;;;;
ЦБ-00030287;;;;;;
ЦБ-00005918;;;;;;
ЦБ-00026217;;;;;;
ЦБ-00005919;;;;;;
ЦБ-00022088;;;;;;
РТ-00014370;;;;;;
РТ-00006205;;;;;;
РТ-00011726;;;;;;
РТ-00013012;;;;;;
РТ-00007774;;;;;;
ЦБ-00119489;;;;;;
РТ-00005530;;;;;;
ЦБ-00077965;;;;;;
ЦБ-00124448;;;;;;
ЦБ-00156311;;;;;;
ЦБ-00136347;;;;;;
РТ-00001153;;;;;;
ЦБ-00117833;;;;;;
ЦБ-00118695;;;;;;
ЦБ-00136350;;;;;;
ЦБ-00157717;;;;;;
ЦБ-00119632;;;;;;
ЦБ-00118550;;;;;;
ЦБ-00022183;;;;;;
ЦБ-00017190;;;;;;
ЦБ-00022438;;;;;;
ЦБ-00026266;;;;;;
ЦБ-00017191;;;;;;
ЦБ-00026265;;;;;;
ЦБ-00022177;;;;;;
ЦБ-00022439;;;;;;
ЦБ-00017192;;;;;;
ЦБ-00027797;;;;;;
ЦБ-00027799;;;;;;
ЦБ-00136319;;;;;;
ЦБ-00160236;;;;;;
РТ-00002287;;;;;;
ЦБ-00136318;;;;;;
ЦБ-00122701;;;;;;
ЦБ-00032327;;;;;;
ЦБ-00005849;;;;;;
ЦБ-00005851;;;;;;
ЦБ-00020363;;;;;;
ЦБ-00005853;;;;;;
ЦБ-00036178;;;;;;
ЦБ-00005855;;;;;;
ЦБ-00005857;;;;;;
ЦБ-00017727;;;;;;
РТ-00008793;;;;;;
РТ-00001576;;;;;;
ЦБ-00015603;;;;;;
ЦБ-00030949;;;;;;
ЦБ-00030951;;;;;;
ЦБ-00030950;;;;;;
ЦБ-00016032;;;;;;
ЦБ-00022090;;;;;;
ЦБ-00024038;;;;;;
ЦБ-00026010;;;;;;
ЦБ-00005917;;;;;;
ЦБ-00017070;;;;;;
ЦБ-00016235;;;;;;
ЦБ-00016233;;;;;;
ЦБ-00015064;;;;;;
ЦБ-00117067;;;;;;
ЦБ-00005893;;;;;;
ЦБ-00005902;;;;;;
ЦБ-00005906;;;;;;
ЦБ-00005921;;;;;;
ЦБ-00170006;;;;;;
ЦБ-00170033;;;;;;
ЦБ-00172089;;;;;;
ЦБ-00170389;;;;;;
ЦБ-00170136;;;;;;
ЦБ-00169713;;;;;;
ЦБ-00180549;;;;;;
ЦБ-00170653;;;;;;
ЦБ-00170633;;;;;;
ЦБ-00175883;;;;;;
ЦБ-00175985;;;;;;
ЦБ-00177525;;;;;;
ЦБ-00169371;;;;;;
РТ-00005117;;;;;;
РТ-00003467;;;;;;
ЦБ-00161983;;;;;;
ЦБ-00161938;;;;;;
ЦБ-00161982;;;;;;
ЦБ-00156262;;;;;;
ЦБ-00035485;;;;;;
ЦБ-00035486;;;;;;
ЦБ-00195124;;;;;;
ЦБ-00145750;;;;;;
ЦБ-00165891;;;;;;
ЦБ-00165889;;;;;;
