Код;Наименование;Подкатегория;;Подкатегория;Допродажа. Код;Допродажа. Наименование
ЦБ-00164649;Гематоша пастилки мармеладные кола №12;Гематоген;;;;
ЦБ-00136726;Гематоша таб. жев. вишня №10;Гематоген;;;;
ЦБ-00130866;Гематоша таб. жев. корица №10;Гематоген;;;;
ЦБ-00022341;Гемодез-8000 р-р д/инф. 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00006959;Гемодез-8000 р-р д/инф. 400мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00006960;Гемодез-Н 400мл №15;Инъекционные и инфузионные р-ры;;;;
ЦБ-00035859;Гемодез-Н р-р д/инф 200мл бут д/крови и кровезам;Инъекционные и инфузионные р-ры;;;;
ЦБ-00006961;Гемодез-Н р-р д/инф. 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00022192;Гемодез-Н р-р д/инф. 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00023434;Гемодез-Н р-р д/инф. 200мл №20;Инъекционные и инфузионные р-ры;;;;
ЦБ-00006962;Гемодез-Н р-р д/инф. 250мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00017219;Гемодез-Н р-р д/инф. 400мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00151595;Гемодез-Н р-р д/инф. 400мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00166207;Гемодез-Н р-р для инф. 200мл №20 (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00165733;Гемолен пор. 2,5г №10;Препараты железа;;;;
ЦБ-00021691;Гемофер Пролонгатум драже 325мг №30;Препараты железа;;;;
ЦБ-00001099;Гендевит др. №50;Поливитамины;;;;
ЦБ-00015025;Гендевит др. №50;Поливитамины;;;;
ЦБ-00152795;Гендевит др. №50 БАД;Поливитамины;;;;
РТ-00010529;Гендевитмар др. №50;Поливитамины;;;;
ЦБ-00034132;Гентамицин р-р в/в и в/м 40мг/мл 2мл №10;Антибактериальные средства инъекционные р-ры;;;;
ЦБ-00001105;Гентамицин р-р в/в и в/м 40мг/мл 2мл №10;Антибактериальные средства инъекционные р-ры;;;;
ЦБ-00001106;Гентамицин р-р в/в и в/м 40мг/мл 2мл №10;Антибактериальные средства инъекционные р-ры;;;;
ЦБ-00001107;Гентамицин р-р в/в и в/м 40мг/мл 2мл №10;Антибактериальные средства инъекционные р-ры;;;;
ЦБ-00032005;Гентамицин р-р в/в и в/м 40мг/мл 2мл №10;Антибактериальные средства инъекционные р-ры;;;;
ЦБ-00036696;Гентамицин р-р в/в и в/м 40мг/мл 2мл №10;Антибактериальные средства инъекционные р-ры;;;;
РТ-00014131;Гентамицин р-р в/в и в/м 40мг/мл 2мл №5;Антибактериальные средства инъекционные р-ры;;;;
ЦБ-00001103;Гентамицин-К р-р в/в и в/м 40мг/мл 1мл №10;Антибактериальные средства инъекционные р-ры;;;;
ЦБ-00001104;Гентамицин-К р-р в/в и в/м 40мг/мл 2мл №10;Антибактериальные средства инъекционные р-ры;;;;
ЦБ-00001108;Гентос капли гомеопат 20мл;Ср-ва при эректильной дисфункции, влияющие на либидо;;;;
ЦБ-00001109;Гентос капли гомеопат 50мл;Ср-ва при эректильной дисфункции, влияющие на либидо;;;;
ЦБ-00001110;Гентос таб. гомеопат. №20;Ср-ва при эректильной дисфункции, влияющие на либидо;;;;
РТ-00000726;Гепар композитум р-р д/ин. 2.2мл №100;Инъекционные и инфузионные р-ры;;;;
ЦБ-00006975;Гепон пор. лиофилизир. д/р-ра для приема внутрь и наружн. прим. 2мг  (шприц);Инъекционные и инфузионные р-ры;;;;
ЦБ-00021694;ГЕПОН ПОР.ЛИОФ.Д/Р-РА №1+2 ШПРИЦ 2МГ;Инъекционные и инфузионные р-ры;;;;
ЦБ-00006978;Геримакс 45+ таб. №40;Поливитамины;;;;
ЦБ-00006979;Геримакс 45+ таб. №90;Поливитамины;;;;
ЦБ-00006980;Геримакс Драйв р-р д/внутр пр. Кола 150мл;Поливитамины;;;;
ЦБ-00017034;Геримакс Драйв р-р д/внутр пр.Черная смородина 150мл;Поливитамины;;;;
ЦБ-00017033;ГЕРИМАКС ДРАЙВ ЭЛИКСИР ВКУС КОЛЫ 150МЛ;Поливитамины;;;;
ЦБ-00020661;Геримакс Женьшень таб. №10;Поливитамины;;;;
ЦБ-00006981;Геримакс Женьшень Экстра таб. №10;Поливитамины;;;;
ЦБ-00017048;Геримакс Жень-шень Экстра таб. №30;Поливитамины;;;;
ЦБ-00001148;Геримакс Энерджи таб. 1170мг №10;Поливитамины;;;;
ЦБ-00015722;Геримакс Энерджи тб 1.17г №60;Поливитамины;;;;
ЦБ-00001506;Геровитал эликсир д/приема внутрь 200мл;Поливитамины;;;;
ЦБ-00028321;Гестарелла таб. п/о 75+20мкг №21;Пероральные контрацептивы;;;;
ЦБ-00028322;Гестарелла таб. п/о 75+20мкг №63;Пероральные контрацептивы;;;;
РТ-00010698;Гета-сорб р-р д/инф 6% 500мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00190914;ГидроКлин Мини повязки гидроактивные стер. 3см №10;Повязка раневая;;;;
ЦБ-00135450;ГидроКлин плюс повязка активная с р-ром Рингера с ПГМБ круглые 4см №10;Повязка раневая;;;;
ЦБ-00192670;ГидроКлин повязка гидроактивн. стер. д/зажив. ран во влажн. среде 4см №10;Повязка раневая;;;;
ЦБ-00193067;ГидроКлин повязка гидроактивн. стер. д/зажив. ран во влажн. среде 4см №3;Повязка раневая;;;;
ЦБ-00191477;ГидроКлин повязка гидроактивн. стер. д/зажив. ран во влажн. среде 4х8см №10;Повязка раневая;;;;
ЦБ-00192386;ГидроКлин повязка гидроактивн. стер. д/зажив. ран во влажн. среде 7,5х7,5см №10;Повязка раневая;;;;
ЦБ-00190915;ГидроКлин повязки гидроактивные стер. 4см №10;Повязка раневая;;;;
ЦБ-00138015;Гидроколл Тин повязка гидроколлоидная 15х15см №5;Повязка раневая;;;;
ЦБ-00001160;Гидрокортизон сусп.в/м и в/сустав 2.5% амп. 2мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00165392;Гидрокортизон+Лидокаин-Бинергия сусп. д/в/сустав и около сустав. введ. 25 мг+5 мг/мл 5мл №1;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001153;Гидрокортизон-Рихтер сусп. д/суст. и околосуст. введ. 25+5мг/мл флак. 5мл №1;Инъекционные и инфузионные р-ры;;;;
ЦБ-00124395;ГидроТак комфорт повязка самоклеящ.с гидрогелевым покрытием 12,5*12,5см №10;Повязка раневая;;;;
ЦБ-00122591;ГидроТак комфорт повязка самоклеящ.с гидрогелевым покрытием 6,5*10см №10;Повязка раневая;;;;
ЦБ-00168561;ГидроТак повязка губчатая с гидрогелевым покрытием 10х10см №1;Повязка раневая;;;;
ЦБ-00001165;Гиналгин таб. ваг. №10;Гинекологические п/воспалительные ср-ва наружные;;;;
ЦБ-00131160;Гинджалелинг капс. №75;Уроантисептики;;;;
ЦБ-00001166;Гинезол 7 супп. ваг. 100мг №7;Гинекологические п/воспалительные ср-ва наружные;;;;
РТ-00014434;Гинокапс капс. ваг. 100мг №10;Гинекологические п/воспалительные ср-ва наружные;;;;
ЦБ-00006997;Гино-Певарил супп. ваг. 150мг №3;Гинекологические п/воспалительные ср-ва наружные;;;;
ЦБ-00001175;Гино-Певарил супп. ваг. 50мг №15;Гинекологические п/воспалительные ср-ва наружные;;;;
ЦБ-00153828;Гино-Тардиферон таб. с модиф. высвоб. п/п/о 80мг+0.35мг №30;Препараты железа;;;;
ЦБ-00001177;Гинофорт крем ваг. 2% 5г;Гинекологические п/воспалительные ср-ва наружные;;;;
ЦБ-00001188;Гистохром р-р д/ин. 0.2мг/мл 1мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00131787;Глатион лиоф. для р-ра в/в в/м 600мг №5;Инъекционные и инфузионные р-ры;;;;
РТ-00007486;Гленвитол аскорбинка с глюкозой таб. 100мг №10 клубника;Витамин С;;;;
ЦБ-00032863;Гленвитол аскорбинка с глюкозой таб. 25мг №10;Витамин С;;;;
ЦБ-00032871;Гленвитол аскорбинка с глюкозой таб. 25мг №10 апельсин;Витамин С;;;;
ЦБ-00032872;Гленвитол аскорбинка с глюкозой таб. 25мг №10 арбуз/дыня;Витамин С;;;;
РТ-00010040;Гленвитол аскорбинка с глюкозой таб. 25мг №10 банан;Витамин С;;;;
ЦБ-00032866;Гленвитол аскорбинка с глюкозой таб. 25мг №10 вишня;Витамин С;;;;
РТ-00006922;Гленвитол аскорбинка с глюкозой таб. 25мг №10 гранат;Витамин С;;;;
РТ-00005139;Гленвитол аскорбинка с глюкозой таб. 25мг №10 гранат/черная смородина;Витамин С;;;;
ЦБ-00040016;Гленвитол аскорбинка с глюкозой таб. 25мг №10 груша;Витамин С;;;;
ЦБ-00032864;Гленвитол аскорбинка с глюкозой таб. 25мг №10 клубника;Витамин С;;;;
РТ-00002864;Гленвитол аскорбинка с глюкозой таб. 25мг №10 клубника/банан;Витамин С;;;;
РТ-00007169;Гленвитол аскорбинка с глюкозой таб. 25мг №10 лимон;Витамин С;;;;
ЦБ-00032746;Гленвитол аскорбинка с глюкозой таб. 25мг №10 малина;Витамин С;;;;
ЦБ-00032744;Гленвитол аскорбинка с глюкозой таб. 25мг №10 персик;Витамин С;;;;
РТ-00007305;Гленвитол аскорбинка с глюкозой таб. 25мг №10 смородины;Витамин С;;;;
ЦБ-00032865;Гленвитол аскорбинка с глюкозой таб. 25мг №10 яблоко;Витамин С;;;;
РТ-00013496;Гленвитол аскорбинка с глюкозой таб. №10 дыня;Витамин С;;;;
РТ-00008116;Гленвитол аскорбинка с глюкозой таб. жев. 1000мг №10;Витамин С;;;;
РТ-00009192;Гленвитол аскорбинка с глюкозой таб. жев. 1000мг №10 апельсин;Витамин С;;;;
РТ-00012730;Гленвитол аскорбинка с глюкозой таб. жев. 1000мг №10 дыня;Витамин С;;;;
РТ-00007823;Гленвитол аскорбинка с глюкозой таб. жев. 1000мг №10 клубника;Витамин С;;;;
РТ-00012055;Гленвитол аскорбинка с глюкозой таб. жев. 3000мг №10 клюква;Витамин С;;;;
ЦБ-00152705;Глирикум+витамины группы B таб. д/рассас. №30;Препараты группы В, нейропротекторы;;;;
ЦБ-00157703;Глицивит пор. шип. со вкусом ананаса саше-пакеты 5г №10;Препараты группы В, нейропротекторы;;;;
ЦБ-00169595;Глобифер Форте таб. №20;Препараты железа;;;;
ЦБ-00158155;Глобифер Форте таб. №40;Препараты железа;;;;
ЦБ-00169988;Глодиатр очки арт. 1355 (-2.50);Очки готовые;;;;
ЦБ-00169989;Глодиатр очки арт. 1510 (-2.75);Очки готовые;;;;
ЦБ-00168862;ГЛС Аминокислотный комплекс пор. лесные ягоды 156г;Поливитамины;;;;
ЦБ-00191093;ГЛС Аминокислотный комплекс пор. пина колада 210г;Поливитамины;;;;
ЦБ-00191094;ГЛС Аминокислотный комплекс пор. цитрусовый микс 210г;Поливитамины;;;;
ЦБ-00161984;ГЛС Аргинин капс. 1000мг №90;Витамины д/сердечно-сосудистой системы;;;;
ЦБ-00194743;ГЛС Аспарагиновая к-та капс. №120;Ср-ва при эректильной дисфункции, влияющие на либидо;;;;
ЦБ-00176691;ГЛС Вит. Д3 таб. шип. без сах. апельсин №20;Витамин Д3;;;;
ЦБ-00177394;ГЛС Вит. Д3 таб. шип. без сах. вишня №20;Витамин Д3;;;;
ЦБ-00182963;ГЛС Вит. Д3 таб. шип. без сах. мультифрукт №20;Витамин Д3;;;;
ЦБ-00160827;ГЛС Витамин В12 капс. №60;Препараты группы В, нейропротекторы;;;;
ЦБ-00185239;ГЛС Витамин В12 капс. №90;Препараты группы В, нейропротекторы;;;;
ЦБ-00184449;ГЛС Витамин В5 капс. №60;Препараты группы В, нейропротекторы;;;;
ЦБ-00185478;ГЛС Витамин Д3 2000 капс. №90;Витамин Д3;;;;
ЦБ-00161180;ГЛС Витамин Д3 2000МЕ капс. №120;Витамин Д3;;;;
ЦБ-00192930;ГЛС Витамин Д3 500МЕ нейтр. вкус 30мл;Витамин Д3;;;;
ЦБ-00190838;ГЛС Витамин Д3 600 капс. №60;Витамин Д3;;;;
ЦБ-00172369;ГЛС Витамин Д3 паст. жеват. д/детей вишня/клубника/лимон капс. №90;Витамин Д3;;;;
ЦБ-00177476;ГЛС Витамин Д3+К2 капс. №60;Витамин Д3;;;;
ЦБ-00162580;ГЛС Витамин С 900 мг капс. №60;Витамин С;;;;
ЦБ-00161570;ГЛС Витамин С 900 мг таб. шип. без сахара апельсин №20;Витамин С;;;;
ЦБ-00161571;ГЛС Витамин С 900 мг таб. шип. без сахара лимон №20;Витамин С;;;;
ЦБ-00161572;ГЛС Витамин С 900 мг таб. шип. без сахара цитрус №20;Витамин С;;;;
ЦБ-00189811;ГЛС Витамин С паст. марм. жеват. д/детей апельсин №90;Витамин С;;;;
ЦБ-00162581;ГЛС В-комплекс капс. №60;Препараты группы В, нейропротекторы;;;;
ЦБ-00184713;ГЛС В-комплекс капс. №90;Препараты группы В, нейропротекторы;;;;
ЦБ-00167806;ГЛС Гинавис капс. №30;Витамины д/сердечно-сосудистой системы;;;;
ЦБ-00180608;ГЛС Железо Фумариат капс. №60;Препараты железа;;;;
ЦБ-00178819;ГЛС Железо Хелат капс. №60;Препараты железа;;;;
ЦБ-00182964;ГЛС Железо Хелат капс. №90;Препараты железа;;;;
ЦБ-00168861;ГЛС ЗМА комплекс капс. №90;Поливитамины;;;;
ЦБ-00157748;ГЛС Кордицепс Комплекс капс. №60;Поливитамины;;;;
ЦБ-00147497;ГЛС Лизин 1000 капс. №90;Витамины д/сердечно-сосудистой системы;;;;
ЦБ-00168710;ГЛС Магний В6 д/беременных капс.№180;Препараты магния;;;;
ЦБ-00164238;ГЛС Магний таб. шип. б/сахара апельсин №20;Препараты магния;;;;
ЦБ-00174325;ГЛС Магний таб. шип. б/сахара малина №20;Препараты магния;;;;
ЦБ-00192049;ГЛС Магний хелат капс. №120;Препараты магния;;;;
ЦБ-00172245;ГЛС Магний хелат капс. №180;Препараты магния;;;;
ЦБ-00182201;ГЛС Магний хелат капс. №200;Препараты магния;;;;
ЦБ-00182456;ГЛС Магния цитрат с вит. В6 капс.№100;Препараты магния;;;;
ЦБ-00194564;ГЛС Магния цитрат с вит. В6 капс.№120;Препараты магния;;;;
ЦБ-00160896;ГЛС Магния цитрат с вит. В6 капс.№180;Препараты магния;;;;
ЦБ-00193814;ГЛС Магния цитрат с вит. В6 капс.№300;Препараты магния;;;;
ЦБ-00174504;ГЛС Мультивитамины Актив таб. шип. мультифрукт №20;Поливитамины;;;;
ЦБ-00172082;ГЛС Ресвератрол капс. №60;Витамины д/сердечно-сосудистой системы;;;;
ЦБ-00184765;ГЛС Таурин 1000 капс. №120;Витамины д/сердечно-сосудистой системы;;;;
ЦБ-00143632;ГЛС Таурин 1000 капс. №90;Витамины д/сердечно-сосудистой системы;;;;
ЦБ-00174923;ГЛС Хлорелла капс. №90;Поливитамины;;;;
ЦБ-00162325;ГЛС Холин капс. №120;Препараты группы В, нейропротекторы;;;;
ЦБ-00033287;Глюкоза 5% 100мл Б.Браун (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00033056;Глюкоза 5% 200мл (2 порта);Инъекционные и инфузионные р-ры;;;;
ЦБ-00031385;Глюкоза 5% 250мл (2 порта);Инъекционные и инфузионные р-ры;;;;
ЦБ-00035458;Глюкоза 5% 500мл КП-1пп (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00127460;Глюкоза Браун р-р д/инф. 5% 1000мл №10 (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00001219;Глюкоза Браун р-р д/инф. 5% 250мл №1;Инъекционные и инфузионные р-ры;;;;
ЦБ-00037863;Глюкоза Браун р-р д/инф. 5% 250мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00032006;Глюкоза буфус р-р д/ин. 40% 10мл №10 Реневал;Инъекционные и инфузионные р-ры;;;;
РТ-00006404;Глюкоза буфус р-р д/ин. 40% 10мл №100;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001230;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001231;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00030010;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00030612;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00030928;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
РТ-00001612;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00027043;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00033777;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00038919;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00029178;Глюкоза р-р в/в 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00172664;Глюкоза р-р д/в/в введ. 400мг/мл 10мл амп. №10 Биосинтез;Инъекционные и инфузионные р-ры;;;;
ЦБ-00030008;Глюкоза р-р д/инф 5% 200 мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00160684;Глюкоза р-р д/инф 5% 200мл №30;Инъекционные и инфузионные р-ры;;;;
РТ-00010813;Глюкоза р-р д/инф. (инд. уп.) 5% 200мл №20;Инъекционные и инфузионные р-ры;;;;
ЦБ-00031695;Глюкоза р-р д/инф. 10% 200 мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001224;Глюкоза р-р д/инф. 10% 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001234;Глюкоза р-р д/инф. 10% 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00027243;Глюкоза р-р д/инф. 10% 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00015028;Глюкоза р-р д/инф. 10% 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00082207;Глюкоза р-р д/инф. 10% 200мл №28 (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00169951;Глюкоза р-р д/инф. 10% 250 мл №10 (для ЛПУ)Фармасинтез;Инъекционные и инфузионные р-ры;;;;
ЦБ-00160825;Глюкоза р-р д/инф. 10% 250мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00125490;Глюкоза р-р д/инф. 10% 250мл пакет;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001235;Глюкоза р-р д/инф. 10% 400мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00015027;Глюкоза р-р д/инф. 10% 400мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00030006;Глюкоза р-р д/инф. 10% 400мл №12;Инъекционные и инфузионные р-ры;;;;
РТ-00014576;Глюкоза р-р д/инф. 10% 400мл №12;Инъекционные и инфузионные р-ры;;;;
ЦБ-00030007;Глюкоза р-р д/инф. 10% 500мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00150237;Глюкоза р-р д/инф. 10% 500мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00104905;Глюкоза р-р д/инф. 10% 500мл №10 (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00001225;Глюкоза р-р д/инф. 20% 250мл;Инъекционные и инфузионные р-ры;;;;
РТ-00008667;Глюкоза р-р д/инф. 20% 250мл №1 (для ЛП);Инъекционные и инфузионные р-ры;;;;
ЦБ-00001229;Глюкоза р-р д/инф. 5% 1000мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00021703;ГЛЮКОЗА Р-Р Д/ИНФ. 5% 200 МЛ №24;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001226;Глюкоза р-р д/инф. 5% 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001236;Глюкоза р-р д/инф. 5% 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00030009;Глюкоза р-р д/инф. 5% 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00021701;ГЛЮКОЗА Р-Р Д/ИНФ. 5% 200МЛ N28;Инъекционные и инфузионные р-ры;;;;
РТ-00006677;Глюкоза р-р д/инф. 5% 200мл №1;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001227;Глюкоза р-р д/инф. 5% 200мл №28;Инъекционные и инфузионные р-ры;;;;
ЦБ-00038567;Глюкоза р-р д/инф. 5% 200мл №28;Инъекционные и инфузионные р-ры;;;;
ЦБ-00165598;Глюкоза р-р д/инф. 5% 200мл №32 (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00016687;Глюкоза р-р д/инф. 5% 250мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00027147;Глюкоза р-р д/инф. 5% 250мл;Инъекционные и инфузионные р-ры;;;;
РТ-00010089;Глюкоза р-р д/инф. 5% 250мл №1;Инъекционные и инфузионные р-ры;;;;
РТ-00002595;Глюкоза р-р д/инф. 5% 250мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00016688;Глюкоза р-р д/инф. 5% 400мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001228;Глюкоза р-р д/инф. 5% 400мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00021704;ГЛЮКОЗА Р-Р Д/ИНФ. 5% 400МЛ N12;Инъекционные и инфузионные р-ры;;;;
ЦБ-00165599;Глюкоза р-р д/инф. 5% 400мл №16 (для ЛПУ) Мосфарм;Инъекционные и инфузионные р-ры;;;;
ЦБ-00021702;Глюкоза р-р д/инф. 5% 500мл;Инъекционные и инфузионные р-ры;;;;
РТ-00012533;Глюкоза р-р д/инф. 5% 500мл №1;Инъекционные и инфузионные р-ры;;;;
РТ-00008665;Глюкоза р-р д/инф. 5% 500мл №10 (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
РТ-00001659;Глюкоза р-р д/инф. 5% 500мл №12;Инъекционные и инфузионные р-ры;;;;
ЦБ-00021700;ГЛЮКОЗА Р-Р Д/ИНФ. 5%-400МЛ N15;Инъекционные и инфузионные р-ры;;;;
ЦБ-00021697;Глюкоза р-р д/инф. амп. 40% 5мл №10;Инъекционные и инфузионные р-ры;;;;
РТ-00012545;Глюкоза р-р д/инф. полифлак Домус (инд. уп.) 5% 1000мл №10;Инъекционные и инфузионные р-ры;;;;
РТ-00003715;Глюкоза р-р д/инф. полифлак Домус (инд. уп.) 5% 200мл №1;Инъекционные и инфузионные р-ры;;;;
ЦБ-00035562;Глюкоза р-р д/инф. полифлак Домус (инд. уп.) 5% 400мл №1;Инъекционные и инфузионные р-ры;;;;
РТ-00003919;Глюкоза р-р д/инф. полифлак Домус (инд. уп.) 5% 500мл №1;Инъекционные и инфузионные р-ры;;;;
ЦБ-00104078;Глюкоза-Солофарм р-р д/инф. 5% 200мл №20 (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00097859;Глюкоза-Солофарм р-р д/инф. 5% 400мл №20 (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00001220;Глюкоза-Э р-р д/инф. 10% 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001223;Глюкоза-Э р-р д/инф. 40% 10мл №10;Инъекционные и инфузионные р-ры;;;;
ЦБ-00025152;Глюкоза-Э р-р д/инф. 5% 100мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001221;Глюкоза-Э р-р д/инф. 5% 200мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00001222;Глюкоза-Э р-р д/инф. 5% 400мл;Инъекционные и инфузионные р-ры;;;;
ЦБ-00021698;ГЛЮКОЗЫ Р-Р Д/ИНФ 100МГ/МЛ 200МЛ №28;Инъекционные и инфузионные р-ры;;;;
ЦБ-00021699;ГЛЮКОЗЫ Р-Р Д/ИНФ 100МГ/МЛ 400МЛ №15;Инъекционные и инфузионные р-ры;;;;
ЦБ-00108044;Глюкостерил р-р д/инф. 20% 500мл №10 (для ЛПУ);Инъекционные и инфузионные р-ры;;;;
ЦБ-00153139;Гозерелин-лонг имплантат 3.6 мг шприц-аппликаторы №1;Инъекционные и инфузионные р-ры;;;;
ЦБ-00177393;Голден Апотека Актив витаминс капс. №60;Поливитамины;;;;
ЦБ-00189522;Голден Апотека Антиоксидант капс. №60;Витамины д/сердечно-сосудистой системы;;;;
ЦБ-00178451;Голден Апотека Блюм Бьюти Эсспенс Дэй таб. №60;Поливитамины;;;;
ЦБ-00180379;Голден Апотека Блюм Бьюти Эсспенс Найт таб. №14;Поливитамины;;;;
ЦБ-00179467;Голден Апотека Брейнлайт капс. №60;Препараты группы В, нейропротекторы;;;;
ЦБ-00177302;Голден Апотека Бьюти Комплекс капс. №60;Поливитамины;;;;
ЦБ-00180570;Голден Апотека Вит. Д3 2000МЕ капс. №60;Витамин Д3;;;;
ЦБ-00180216;Голден Апотека вит. Д3/К2 капс. №60;Витамин Д3;;;;
ЦБ-00181610;Голден Апотека Вит. С капс. №60;Витамин С;;;;
ЦБ-00178157;Голден Апотека Вит. С таб. жеват. лимон №60;Витамин С;;;;
ЦБ-00176933;Голден Апотека Вит. С/имбирь таб. жеват. лимон №60;Витамин С;;;;
ЦБ-00172060;Голден Апотека витамин Д3 капс. №60;Витамин Д3;;;;
ЦБ-00185930;Голден Апотека В-компл.+Вит. С капс. №60;Препараты группы В, нейропротекторы;;;;
ЦБ-00178048;Голден Апотека Воркаут Буст капс. №60;Поливитамины;;;;
ЦБ-00182544;Голден Апотека Железо капс. №60;Препараты железа;;;;
ЦБ-00181849;Голден Апотека Магне В6 таб. №60;Препараты магния;;;;
ЦБ-00159787;Голдика Энергетический комплекс таб. №20;Поливитамины;;;;
ЦБ-00159788;Голдика Энергетический комплекс таб. №40;Поливитамины;;;;
ЦБ-00136746;Горная сибирь бальзам почечный б/алкогольный 250мл;Уроантисептики;;;;
ЦБ-00173184;Гороскоп любви презервативы с ароматом клубники №3;Презервативы;;;;
ЦБ-00192977;Гразолинд повязка мазев. нейтр. 10х20см №30;Повязка раневая;;;;
ЦБ-00194341;Гразолинд повязка мазев. нейтр. 20х20см №10;Повязка раневая;;;;
ЦБ-00168762;Гранд Фемели индовум капс. №30;Поливитамины;;;;
ЦБ-00192017;Граноген р-р для в/в и п/к введ. 300мкг/мл (30 млн МЕ/мл) 1,6мл фл. №5;Инъекционные и инфузионные р-ры;;;;
ЦБ-00174242;Граноген р-р для в/в и п/к введ. 300мкг/мл (30 млн МЕ/мл) 1мл фл. №5;Инъекционные и инфузионные р-ры;;;;
ЦБ-00154313;Грассберг Альфа липоевая к-та капс. №60;Поливитамины;;;;
ЦБ-00193452;Грассберг Антиоксидантная защита капс. №60;Поливитамины;;;;
ЦБ-00152019;Грассберг Витамин Д3 10мкг 400МЕ капли 50мл;Витамин Д3;;;;
ЦБ-00161315;Грассберг Витамин Д3 15мкг 600МЕ капс. №90;Витамин Д3;;;;
ЦБ-00190629;Грассберг Витамин Д3/К2 таб. №60;Витамин Д3;;;;
ЦБ-00162960;Грассберг Витамин С капс. 500мг №60;Витамин С;;;;
ЦБ-00153461;Грассберг Имму Буст витаминно-минеральный комплекс капс. №60;Поливитамины;;;;
ЦБ-00158131;Грассберг Кальциум 600 + Д3 + Цинк + Витамин К таб. №60;Поливитамины;;;;
ЦБ-00155639;Грассберг Кальциум 600 + Д3 + Цинк + Витамин К таб. №90;Поливитамины;;;;
ЦБ-00167481;Грассберг Комплекс железа капс. №60;Препараты железа;;;;
ЦБ-00152032;Грассберг Магний премиум+B6 капс. №60;Поливитамины;;;;
